ID,name,difficulty_rating,route_type,visitor_usage,avg_rating,area_name,city_name,features,activities,num_reviews,latitude,longitude,length_miles,elevation_gain_ft,steepness_ftmi,difficulty_category,area_category,url
10034267,Mount San Antonio and Mount Baldy Notch Trail,7,L,4,4.5,Angeles National Forest,Mt Baldy,"['dogs', 'forest', 'historic-site', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running']",944,34.26584,-117.62701,9.2,3940.0001,428.2608804347827,very strenuous,Forest,https://www.alltrails.com/trail/us/california/mount-san-antonio-mount-baldy-notch-trail
10234995,Echo Mountain via Sam Merrill Trail,3,O,3,4.5,Angeles National Forest,Altadena,"['dogs-leash', 'forest', 'historic-site', 'kids', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",1400,34.20398,-118.13057,5.4,1417.0,262.4074074074074,moderately strenuous,Forest,https://www.alltrails.com/trail/us/california/echo-mountain-via-sam-merrill-trail--4
10016451,Mount Whitney via Mount Whitney Trail,7,O,3,5.0,Inyo National Forest,Lone Pine,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'rock-climbing', 'snowshoeing', 'cross-country-skiing', 'ice-climbing']",1167,36.58677,-118.24011,21.9,6715.0002,306.6210136986302,very strenuous,Forest,https://www.alltrails.com/trail/us/california/mount-whitney-via-mount-whitney-trail
10015925,"Dipsea, Steep Ravine, and Matt Davis Loop",3,L,3,5.0,Mount Tamalpais State Park,Stinson Beach,"['beach', 'dogs-no', 'forest', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",762,37.89789,-122.63735,6.8,1781.0001,261.9117794117647,strenuous,State Park,https://www.alltrails.com/trail/us/california/dipsea-trail-to-steep-ravine-trail-to-matt-davis-loop-trail
10111214,Berry Creek Falls Loop,5,L,3,4.5,West Waddell Creek State Wilderness,Boulder Creek,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",1165,37.17194,-122.22208,10.2,2335.0001,228.92157843137258,very strenuous,Protected Area,https://www.alltrails.com/trail/us/california/berry-creek-falls-trail
10029749,Eagle Lake Trail,3,O,3,4.5,Desolation Wilderness,South Lake Tahoe,"['dogs-leash', 'forest', 'lake', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'walking']",1007,38.952,-120.11307,1.8,433.0,240.55555555555554,easy,Protected Area,https://www.alltrails.com/trail/us/california/eagle-lake-trail
10027248,Lands End Trail,3,L,3,4.5,Golden Gate National Recreation Area,San Francisco,"['dogs-leash', 'forest', 'historic-site', 'kids', 'partially-paved', 'views', 'wild-flowers']","['hiking', 'nature-trips', 'trail-running', 'walking']",1086,37.780590000000004,-122.51162,3.4,534.0,157.05882352941177,moderate,Recreation Area,https://www.alltrails.com/trail/us/california/lands-end-trail
10022065,Hidden Falls Trail,3,L,3,4.5,Hidden Falls Regional Park,Auburn,"['dogs-leash', 'kids', 'river', 'views', 'waterfall', 'wild-flowers']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",1180,38.95855,-121.16406,3.2,475.0,148.4375,moderate,Regional Park,https://www.alltrails.com/trail/us/california/hidden-falls-trails
10019076,Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop,3,L,4,4.5,Castle Rock State Park,Saratoga,"['cave', 'dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'mountain-biking', 'nature-trips', 'rock-climbing', 'skiing', 'trail-running', 'horseback-riding']",999,37.2305,-122.09591,5.5,1213.0,220.54545454545453,moderately strenuous,State Park,https://www.alltrails.com/trail/us/california/saratoga-gap-trail-and-ridge-trail-loop
10026952,Moro Rock Trail,3,O,3,4.5,Sequoia National Park,Three Rivers,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",701,36.54685,-118.76565,0.4,187.0,467.5,easy,National Park,https://www.alltrails.com/trail/us/california/moro-rock-trail
